"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED","OH","Healthcare Provider","750","07/18/2023","Hacking/IT Incident","Network Server","No",""
"IVF Michigan, P.C.","MI","Healthcare Provider","9383","07/18/2023","Hacking/IT Incident","Network Server","No",""
"Wake Family Eye Care","NC","Healthcare Provider","14264","07/14/2023","Hacking/IT Incident","Network Server","No",""
"Beacon Specialized Living","MI","Healthcare Provider","3338","07/13/2023","Hacking/IT Incident","Network Server","No",""
"East Houston Medicine and Pediatrics Clinic","TX","Healthcare Provider","13184","07/13/2023","Loss","Paper/Films","No",""
"Kansas Joint & Spine Specialists ","KS","Healthcare Provider","83869","07/12/2023","Hacking/IT Incident","Network Server","No",""
"Konen & Associates dba Unified Pain Management ","TX","Healthcare Provider","5922","07/12/2023","Hacking/IT Incident","Email","No",""
"Aria Care Partners ","KS","Healthcare Provider","77405","07/11/2023","Hacking/IT Incident","Network Server","No",""
"The Vitality Group, LLC","IL","Business Associate","17971","07/11/2023","Hacking/IT Incident","Network Server","Yes",""
"Catholic Charities of the Archdiocese of Newark","NJ","Healthcare Provider","9895","07/07/2023","Hacking/IT Incident","Network Server","No",""
"Precision Anesthesia Billing LLC","FL","Business Associate","209200","07/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Miracle-Ear Flagship, LLC","MN","Healthcare Provider","3560","07/07/2023","Hacking/IT Incident","Email","No",""
"Parsley Health, Inc. ","NY","Business Associate","1004","07/07/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Public Health Management Corporation","PA","Healthcare Provider","501","07/06/2023","Hacking/IT Incident","Network Server","No",""
"ARx Patient Solutions","KS","Healthcare Provider","41166","06/30/2023","Unauthorized Access/Disclosure","Email","No",""
"Mount Desert Island Hospital, Inc.","ME","Healthcare Provider","29952","06/30/2023","Hacking/IT Incident","Network Server","No",""
"South Suburban Surgical Suites, LLC","IN","Healthcare Provider","5340","06/30/2023","Hacking/IT Incident","Email","No",""
"Advanced Medical Management, LLC","MD","Business Associate","319485","06/29/2023","Hacking/IT Incident","Network Server","Yes",""
"Henrietta Johnson Medical Center","DE","Healthcare Provider","500","06/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Activate Healthcare LLC","IL","Healthcare Provider","93761","06/23/2023","Hacking/IT Incident","Network Server","No",""
"Desert Physicians Management","CA","Business Associate","63713","06/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Vitra Home Care, LLC","MA","Business Associate","658","06/22/2023","Hacking/IT Incident","Email","Yes",""
"Limbach Facility Services LLC Group Benefit Plan","PA","Health Plan","1392","06/22/2023","Hacking/IT Incident","Network Server","No",""
"DMS Health Technologies, Inc. ","ND","Healthcare Provider","48336","06/21/2023","Hacking/IT Incident","Network Server","No",""
"Murfreesboro Medical Clinic & SurgiCenter","TN","Healthcare Provider","559000","06/21/2023","Hacking/IT Incident","Network Server","No",""
"Peachtree Orthopaedic Clinic, P.A.","GA","Healthcare Provider","34691","06/19/2023","Hacking/IT Incident","Network Server","No",""
"Atrium Health Wake Forest Baptist ","NC","Healthcare Provider","3679","06/16/2023","Hacking/IT Incident","Email","No",""
"New Horizons Medical, Inc","MA","Healthcare Provider","12317","06/16/2023","Hacking/IT Incident","Network Server","No",""
"Parker Drilling Company Group Health and Flexible Benefit Plan","TX","Health Plan","5973","06/15/2023","Hacking/IT Incident","Network Server","No",""
"Uponor North America","MN","Health Plan","1048","06/08/2023","Hacking/IT Incident","Network Server","No",""
"Intellihartx, LLC","TN","Business Associate","489830","06/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services","UT","Health Plan","5833","06/06/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Enzo Clinical Labs, Inc.","NY","Healthcare Provider","2470000","06/05/2023","Hacking/IT Incident","Network Server","No",""
"South Jersey Behavorial Health Resources, Inc.","NJ","Healthcare Provider","501","06/04/2023","Hacking/IT Incident","Network Server","No",""
"John N. Evans, DPM","MI","Healthcare Provider","15512","06/03/2023","Hacking/IT Incident","Network Server","No",""
"Unified Operations Virginia LP","FL","Business Associate","501","06/02/2023","Hacking/IT Incident","Network Server","Yes",""
"CareNet Medical Group, PC","NY","Healthcare Provider","10059","06/02/2023","Hacking/IT Incident","Network Server","No",""
"Classic Residence Management Limited Partnership","IL","Healthcare Provider","12405","06/02/2023","Hacking/IT Incident","Network Server","No",""
"Elgon Information Systems","MA","Business Associate","31248","06/02/2023","Hacking/IT Incident","Network Server","Yes",""
"Pain Relief Centers PA","NC","Healthcare Provider","7000","06/01/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Builders FirstSource Flex Plan","TX","Health Plan","3690","05/30/2023","Hacking/IT Incident","Network Server","No",""
"Onix Group","PA","Business Associate","319500","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"North Shore Medical Labs","NY","Healthcare Provider","500","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Sparta Community Hospital District","IL","Healthcare Provider","900","05/26/2023","Hacking/IT Incident","Email","No",""
"South Jersey Behavioral Health Resources, Inc.","NJ","Healthcare Provider","2193","05/26/2023","Hacking/IT Incident","Email","No",""
"Lancaster Orthopedic Group","PA","Healthcare Provider","1784","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Albany ENT & Allergy Services, PC.","NY","Healthcare Provider","224486","05/25/2023","Hacking/IT Incident","Network Server","No",""
"Asian Health Services","CA","Healthcare Provider","6270","05/25/2023","Hacking/IT Incident","Email","No",""
"Goodwill Industries of Greater New York and Northern NJ, Inc.","NY","Healthcare Provider","805","05/24/2023","Hacking/IT Incident","Email","No",""
"Harvard Pilgrim Health Care","MA","Health Plan","2624191","05/24/2023","Hacking/IT Incident","Network Server","No",""
"MedInform, Inc.","OH","Business Associate","14453","05/24/2023","Hacking/IT Incident","Network Server","Yes",""
"PillPack LLC","NH","Healthcare Provider","19032","05/19/2023","Hacking/IT Incident","Network Server","No",""
"University of Missouri Health Care ","MO","Healthcare Provider","736","05/17/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service","NJ","Health Plan","552","05/16/2023","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No",""
"Essen Medical Associates, P.C.","NY","Healthcare Provider","500","05/16/2023","Hacking/IT Incident","Network Server","No",""
"Lehigh Valley Health Network (blackcat)","PA","Healthcare Provider","248359","05/15/2023","Hacking/IT Incident","Network Server","No",""
"PharMerica Corporation","KY","Healthcare Provider","5815591","05/12/2023","Hacking/IT Incident","Network Server","No",""
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services","IL","Health Plan","50839","05/12/2023","Hacking/IT Incident","Network Server","No",""
"IMA Financial Group, Inc.","KS","Business Associate","5242","05/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Our Sunday Visitor, Inc.","IN","Health Plan","965","05/05/2023","Hacking/IT Incident","Network Server","No",""
"People Incorporated of Sequoyah County","OK","Healthcare Provider","8725","05/05/2023","Hacking/IT Incident","Network Server","No",""
"New Mexico Department of Health","NM","Healthcare Provider","49000","05/04/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Methodist Family Health","AR","Healthcare Provider","5259","05/03/2023","Hacking/IT Incident","Network Server","No",""
"Northwest Health – La Porte","IN","Healthcare Provider","10256","05/02/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Link Audiology LLC","WA","Healthcare Provider","7200","04/28/2023","Hacking/IT Incident","Email","No",""
"Allina Health","MN","Healthcare Provider","1042","04/28/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Unlimited Care, Inc. ","NY","Healthcare Provider","8453","04/27/2023","Hacking/IT Incident","Network Server","No",""
"University of California, San Francisco","CA","Healthcare Provider","676","04/26/2023","Hacking/IT Incident","Email","No",""
"CounSol, LLC","FL","Business Associate","4277","04/25/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","17000","04/25/2023","Hacking/IT Incident","Email","No",""
"Mars Area School District  ","PA","Health Plan","1270","04/24/2023","Hacking/IT Incident","Network Server","No",""
"Upstream RollCo, LLC","AL","Healthcare Provider","748678","04/22/2023","Hacking/IT Incident","Email","No",""
"Robeson Health Care Corporation","NC","Healthcare Provider","15045","04/21/2023","Hacking/IT Incident","Network Server","No",""
"Modern Cardiology Associates","","Healthcare Provider","10000","04/19/2023","Hacking/IT Incident","Network Server","No",""
"Graceworks Lutheran Services","OH","Healthcare Provider","6737","04/19/2023","Hacking/IT Incident","Network Server","No",""
"MiniMed Distribution Corp.","CA","Healthcare Provider","58374","04/14/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Dallas County","TX","Healthcare Provider","501","04/14/2023","Improper Disposal","Desktop Computer","No",""
"Henry County Hospital","OH","Healthcare Provider","3689","04/14/2023","Hacking/IT Incident","Network Server","Yes",""
"NationsBenefits Holdings, LLC","FL","Business Associate","3037303","04/13/2023","Hacking/IT Incident","Network Server","Yes",""
"Cummins Behavioral Health Systems","IN","Healthcare Provider","501","04/12/2023","Hacking/IT Incident","Network Server","No",""
"Retina & Vitreous of Texas, PLLC","TX","Healthcare Provider","35766","04/10/2023","Hacking/IT Incident","Network Server","No",""
"Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME)","IA","Health Plan","20815","04/10/2023","Hacking/IT Incident","Network Server","Yes",""
"La Clínica de La Raza, Inc.","CA","Healthcare Provider","15316","04/07/2023","Hacking/IT Incident","Email","No",""
"Gretna Family Health","NE","Healthcare Provider","845","04/07/2023","Hacking/IT Incident","Network Server","No",""
"NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM","PA","Health Plan","13240","04/05/2023","Hacking/IT Incident","Email","No",""
"Southwest Healthcare Services","ND","Healthcare Provider","15996","04/01/2023","Hacking/IT Incident","Network Server","No",""
"Monument, Inc.","NY","Business Associate","108584","03/31/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"ProSmile Holdings, LLC","NJ","Business Associate","39674","03/28/2023","Hacking/IT Incident","Email","Yes",""
"Nonstop Administration and Insurance Services, Inc.","PA","Business Associate","8571","03/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Adams County Children and Youth Services","PA","Healthcare Provider","722","03/24/2023","Hacking/IT Incident","Email","No",""
"Atlantic General Hospital","MD","Healthcare Provider","26591","03/24/2023","Hacking/IT Incident","Network Server","No",""
"NewYork-Presbyterian Hospital","NY","Healthcare Provider","54396","03/20/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Integrated Supports for Living, Inc.","OR","Healthcare Provider","1161","03/20/2023","Hacking/IT Incident","Network Server","No",""
"Health Plan of San Mateo","CA","Health Plan","11894","03/17/2023","Hacking/IT Incident","Email","No",""
"Community Health Systems Professional Services Corporations (CHSPSC), LLC","TN","Business Associate","962884","03/16/2023","Hacking/IT Incident","Network Server","Yes",""
"AllCare Plus Pharmacy, Inc.","MA","Healthcare Provider","757","03/15/2023","Hacking/IT Incident","Email","No",""
"Healthy Options dba Postal Prescription Services – Kroger ","OH","Healthcare Provider","82466","03/15/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Top of the World Ranch Treatment Center","IL","Healthcare Provider","1980","03/14/2023","Hacking/IT Incident","Email","No",""
"NorthStar Emergency Medical Services","AL","Healthcare Provider","82450","03/14/2023","Hacking/IT Incident","Network Server","No",""
"ZOLL Services LLC ","MA","Healthcare Provider","997097","03/10/2023","Hacking/IT Incident","Network Server","No",""
"Colquitt Complete Care, LLC","GA","Healthcare Provider","1282","03/10/2023","Hacking/IT Incident","Network Server","Yes",""
"The M K Morse Company's Health Plan","OH","Health Plan","1378","03/08/2023","Hacking/IT Incident","Network Server","No",""
"SundaySky, Inc.","NY","Business Associate","37095","03/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Trinity Health","MI","Business Associate","45350","03/06/2023","Hacking/IT Incident","Email","Yes",""
"Northeast Surgical Group, PC","MI","Healthcare Provider","15298","03/06/2023","Hacking/IT Incident","Network Server","No",""
"Denver Public Schools Medical Plans","CO","Health Plan","35068","03/03/2023","Hacking/IT Incident","Network Server","No",""
"Codman Square Health Center","MA","Healthcare Provider","10161","03/01/2023","Hacking/IT Incident","Network Server","No",""
"MHMR Authority of Brazos Valley ","TX","Healthcare Provider","78984","02/28/2023","Hacking/IT Incident","Network Server","No",""
"Community Health Group ","CA","Health Plan","824","02/28/2023","Hacking/IT Incident","Network Server","Yes",""
"eMDs, Inc.","TX","Business Associate","625","02/24/2023","Hacking/IT Incident","Network Server","Yes",""
"Harrisburg Medical Center (“HMC”)","IL","Healthcare Provider","147826","02/21/2023","Hacking/IT Incident","Network Server","No",""
"Hutchinson Clinic, P.A. ","KS","Healthcare Provider","100000","02/17/2023","Hacking/IT Incident","Network Server","No",""
"Shady Lane Nursing Home","NJ","Healthcare Provider","566","02/17/2023","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"Jackson Lewis P.C. ","CA","Business Associate","986","02/17/2023","Theft","Other Portable Electronic Device","Yes",""
"Reventics, LLC","FL","Business Associate","4212823","02/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Compass Behavioral Health","KS","Healthcare Provider","537","02/10/2023","Hacking/IT Incident","Email","No",""
"Highmark Inc","PA","Business Associate","36600","02/10/2023","Hacking/IT Incident","Email","Yes",""
"Cheyenne Radiology Group & MRI, P.C.","WY","Healthcare Provider","12222","02/09/2023","Hacking/IT Incident","Network Server","No",""
"Health Benefit Plan of Bridgewater-Raritan Regional School District","NJ","Health Plan","3909","02/09/2023","Hacking/IT Incident","Network Server","No",""
"90 Degree Benefits, Inc.","WI","Business Associate","175000","02/08/2023","Hacking/IT Incident","Network Server","Yes",""
"NR Pennsylvania Associates, LLC","PA","Healthcare Provider","14335","02/07/2023","Hacking/IT Incident","Network Server","No",""
"Frank R. Laurri, M.D. and Associates, P.C.","NY","Healthcare Provider","2673","02/07/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Vitra Health, Inc.","MA","Healthcare Provider","1618","02/06/2023","Hacking/IT Incident","Email","No",""
"Cardiovascular Associates","AL","Healthcare Provider","441640","02/03/2023","Hacking/IT Incident","Network Server","No",""
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below","AZ","Healthcare Provider","10978","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group","CA","Healthcare Provider","3388856","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Brooks Rehabilitation","FL","Healthcare Provider","1554","01/31/2023","Unauthorized Access/Disclosure","Network Server","No",""
"DotHouse Health Incorporated","MA","Healthcare Provider","10000","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Benefit Administrative Systems, LLC (BAS)","IL","Business Associate","6465","01/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Minuteman Senior Services","MA","Healthcare Provider","500","01/27/2023","Hacking/IT Incident","Email","No",""
"Peachtree Immediate Care FP, LLC","GA","Healthcare Provider","2555","01/23/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"One Brooklyn Health System","NY","Healthcare Provider","500","01/18/2023","Hacking/IT Incident","Network Server","No",""
"DPP II, LLC","TX","Healthcare Provider","125981","01/12/2023","Hacking/IT Incident","Network Server","No",""
"Insulet Corporation","MA","Healthcare Provider","29000","01/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
"NR Florida Associates LLC","FL","Healthcare Provider","6250","12/30/2022","Hacking/IT Incident","Network Server","No",""
"L. Knife & Son, Inc. Employee Benefits Plan","MA","Health Plan","4082","12/30/2022","Hacking/IT Incident","Network Server","No",""
"Legacy Operating Company d/b/a Legacy Hospice","AL","Healthcare Provider","21202","12/22/2022","Hacking/IT Incident","Email","No",""
"Sleep Center Hawaii","HI","Healthcare Provider","5396","12/12/2022","Hacking/IT Incident","Email","No",""
"CommonSpirit Health","IL","Business Associate","623774","12/01/2022","Hacking/IT Incident","Network Server","Yes",""
"Keck Medicine of USC","CA","Healthcare Provider","2200","11/29/2022","Hacking/IT Incident","Email","No",""
"Compton & Broomhead Dental Center","IN","Healthcare Provider","1307","11/23/2022","Hacking/IT Incident","Email","No",""
"Orlando Health","FL","Healthcare Provider","3662","11/18/2022","Hacking/IT Incident","Email","No",""
"Wright & Filippis LLC","MI","Healthcare Provider","877584","11/18/2022","Hacking/IT Incident","Network Server","No",""
"Innovative Service Technology Management Services, Inc. ","GA","Health Plan","2654","11/17/2022","Hacking/IT Incident","Network Server","No",""
"Docs Medical Inc","CT","Healthcare Provider","3146","11/15/2022","Hacking/IT Incident","Network Server","No",""
"Epic Management LLC","TN","Healthcare Provider","10862","11/14/2022","Hacking/IT Incident","Email","No",""
"Health Care Management Solutions, LLC","WV","Business Associate","500000","11/14/2022","Hacking/IT Incident","Network Server","Yes",""
"Stanley Street Treatment and Resources, Inc. ","MA","Healthcare Provider","45785","11/11/2022","Hacking/IT Incident","Network Server","No",""
"Connexin Software, Inc.","PA","Business Associate","2675934","11/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Doctors' Center Hospital","","Healthcare Provider","1195220","11/09/2022","Hacking/IT Incident","Network Server","No",""
"Heartland Alliance ","IL","Business Associate","46694","11/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Eastside Pediatrics, PLLC","NY","Healthcare Provider","1723","11/08/2022","Hacking/IT Incident","Network Server","No",""
"Hendry County Hospital Authority d/b/a Hendry Regional Medical Center","FL","Healthcare Provider","49514","10/24/2022","Hacking/IT Incident","Network Server","No",""
"Dr. Scott B. Klimaj, DMD","RI","Healthcare Provider","1558","10/21/2022","Hacking/IT Incident","Network Server","No",""
"McPherson Hospital, Inc.","KS","Healthcare Provider","19020","09/26/2022","Hacking/IT Incident","Network Server","No",""
"ARC Industries Inc. of Franklin County","OH","Healthcare Provider","22011","06/17/2022","Hacking/IT Incident","Network Server","No",""
"Apria Healthcare LLC","IN","Healthcare Provider","1868831","05/16/2022","Hacking/IT Incident","Email, Network Server","No",""
"Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers","CA","Healthcare Provider","34775","03/21/2022","Hacking/IT Incident","Network Server","No",""
